meas_time,shoulder_des_pos_store,shoulder_meas_pos,shoulder_des_vel_store,shoulder_meas_vel,elbow_des_pos_store,elbow_meas_pos,elbow_des_vel_store,elbow_meas_vel,elbow_des_tau_store,elbow_meas_tau,elbow_cmd_tau,elbow_clipped_tau,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,state_machine_flag
2.531001091003417969e+00,-4.169946067510985621e-01,-3.747302334011677338e-01,2.826894451623837234e+00,2.385359566238129503e+00,1.458081660882765362e+00,1.387054190545969679e+00,-3.425173806482693095e+00,-2.648223648390390039e+00,nan,9.474053978919982910e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.766862420188625382e+00,2.385359566238129503e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.534500360488891602e+00,-4.069779789634130895e-01,-3.649611724411760960e-01,2.870336979438650182e+00,2.412555767290018860e+00,1.446145291804364685e+00,1.377690484944331883e+00,-3.469282779631050584e+00,-2.633713748086229600e+00,nan,9.062958955764770508e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.776631481148617020e+00,2.412555767290018860e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.537961959838867188e+00,-3.968466852637061448e-01,-3.576245154687067718e-01,2.912003856280698244e+00,2.417355049890450580e+00,1.434006480992293886e+00,1.368039251571722792e+00,-3.514405801544463692e+00,-2.714458399653639997e+00,nan,9.597845673561096191e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.783968138121086344e+00,2.417355049890450580e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.541506528854370117e+00,-3.867127984034451904e-01,-3.474068478175049712e-01,2.951463572375251587e+00,2.516469117231602493e+00,1.421800359834046734e+00,1.358627609070463871e+00,-3.560037132092485290e+00,-2.710673631625716951e+00,nan,8.050985336303710938e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.794185805772288145e+00,2.516469117231602493e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.545451879501342773e+00,-3.762330612127546825e-01,-3.370473571786427591e-01,2.990007000362048473e+00,2.588403761435732697e+00,1.409112156598253174e+00,1.348960365522395177e+00,-3.607732644923108634e+00,-2.800880952276991742e+00,nan,6.507446765899658203e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.804545296411150357e+00,2.588403761435732697e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.548965692520141602e+00,-3.644394600151852348e-01,-3.291279011935106524e-01,3.030716094881052314e+00,2.598017240338700962e+00,1.394756015233478585e+00,1.337839004810224219e+00,-3.662005108766035910e+00,-2.808449926572294864e+00,nan,7.030391097068786621e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.812464752396282464e+00,2.598017240338700962e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.552415370941162109e+00,-3.538322533562920924e-01,-3.183122341916200249e-01,3.064992136014279112e+00,2.634817332913633958e+00,1.381776372604498038e+00,1.328187677810858114e+00,-3.711341600431415255e+00,-2.740319982492371409e+00,nan,6.997743844985961914e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.823280419398173091e+00,2.634817332913633958e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.555898427963256836e+00,-3.433187030811855056e-01,-3.094904099527906460e-01,3.096846695260311755e+00,2.720694957004873960e+00,1.368849995916046058e+00,1.318264739589222856e+00,-3.760717063493752121e+00,-2.821696052909482777e+00,nan,6.376098394393920898e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.832102243637002470e+00,2.720694957004873960e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.559377670288085938e+00,-3.325941986025339747e-01,-2.983099734892218358e-01,3.127229309040099992e+00,2.653136951736180027e+00,1.355603137737700248e+00,1.308086106694021034e+00,-3.811556100088795418e+00,-2.923889471001255291e+00,nan,4.217336773872375488e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.843282680100571280e+00,2.653136951736180027e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.562864780426025391e+00,-3.217801632779436760e-01,-2.905530836864800293e-01,3.155767774689130611e+00,2.763324709205990271e+00,1.342184963014200871e+00,1.297811693626333307e+00,-3.863289426630032164e+00,-2.948491961210867540e+00,nan,4.060389697551727295e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.851039569903313087e+00,2.763324709205990271e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.566348791122436523e+00,-3.108363160186338181e-01,-2.784804027321445830e-01,3.182564540889293525e+00,2.728344620920017505e+00,1.328545378957448175e+00,1.287185618459079084e+00,-3.916110607279733369e+00,-3.026083638107084361e+00,nan,5.309152007102966309e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.863112250857648533e+00,2.728344620920017505e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
